ISO3,Country,2015
BRA,Brazil,11.77
BRA,Brazil,11.92
RUS,Russian Federation,11.95
PNG,Papua New Guinea,12.01
ARG,Argentina,12.24
PRY,Paraguay,12.32
MYS,Malaysia,12.4
PRY,Paraguay,12.47
ARG,Argentina,12.5
FRA,France,12.5
PRY,Paraguay,12.56
DEU,Germany,12.66
SYC,Seychelles,12.71
LTU,Lithuania,12.76
MCO,Monaco,12.79
MCO,Monaco,12.79
SYC,Seychelles,12.8
SYC,Seychelles,12.81
GRC,Greece,12.85
DEU,Germany,12.93
NLD,Netherlands,12.99
JPN,Japan,13.04
NLD,Netherlands,13.05
LVA,Latvia,13.18
ARG,Argentina,13.23
FRA,France,13.34
JPN,Japan,13.36
AUT,Austria,13.41
BEL,Belgium,13.66
ROU,Romania,13.77
BEL,Belgium,13.77
UKR,Ukraine,13.84
DOM,Dominican Republic,13.99
MDA,Republic of Moldova,14.07
JAM,Jamaica,14.1
AUT,Austria,14.28
TLS,Timor-Leste,14.54
MLT,Malta,14.67
MLT,Malta,14.67
BHS,Bahamas,14.73
CYP,Cyprus,14.76
PAN,Panama,14.77
CZE,Czechia,14.89
MDA,Republic of Moldova,14.91
JAM,Jamaica,14.96
TLS,Timor-Leste,14.99
PAN,Panama,15.03
ROU,Romania,15.17
UKR,Ukraine,15.22
SGP,Singapore,15.25
KAZ,Kazakhstan,15.28
LVA,Latvia,15.35
JAM,Jamaica,15.43
MDA,Republic of Moldova,15.46
IDN,Indonesia,15.52
MYS,Malaysia,15.58
GRC,Greece,15.59
PAN,Panama,15.65
HUN,Hungary,15.8
BLR,Belarus,15.97
TKM,Turkmenistan,16.06
COM,Comoros,16.11
ATG,Antigua and Barbuda,16.17
COM,Comoros,16.17
TLS,Timor-Leste,16.19
HTI,Haiti,16.21
ROU,Romania,16.23
DOM,Dominican Republic,16.25
UKR,Ukraine,16.27
COM,Comoros,16.29
SVN,Slovenia,16.33
CZE,Czechia,16.47
MYS,Malaysia,16.5
ITA,Italy,16.53
CUB,Cuba,16.56
GRC,Greece,16.66
IDN,Indonesia,16.68
BHS,Bahamas,16.74
DOM,Dominican Republic,16.81
KAZ,Kazakhstan,16.87
GEO,Georgia,16.88
CYP,Cyprus,16.89
CZE,Czechia,16.93
SGP,Singapore,17.04
SGP,Singapore,17.04
HUN,Hungary,17.04
ITA,Italy,17.05
HRV,Croatia,17.11
SVN,Slovenia,17.33
PHL,Philippines,17.37
TKM,Turkmenistan,17.52
LAO,Lao People's Democratic Republic,17.59
SVK,Slovakia,17.61
VNM,Viet Nam,17.62
BHS,Bahamas,17.63
HUN,Hungary,17.7
HTI,Haiti,17.78
IDN,Indonesia,17.81
SVN,Slovenia,17.86
CYP,Cyprus,17.92
COL,Colombia,18
AZE,Azerbaijan,18.07
ALB,Albania,18.17
BLR,Belarus,18.19
MDG,Madagascar,18.23
HRV,Croatia,18.33
LAO,Lao People's Democratic Republic,18.46
MDG,Madagascar,18.59
COL,Colombia,18.64
LKA,Sri Lanka,18.69
SVK,Slovakia,18.71
CRI,Costa Rica,18.75
BGR,Bulgaria,18.78
CRI,Costa Rica,18.81
HRV,Croatia,18.87
DMA,Dominica,19.01
CRI,Costa Rica,19.02
ALB,Albania,19.06
MDG,Madagascar,19.12
SVK,Slovakia,19.21
ECU,Ecuador,19.23
COL,Colombia,19.27
LKA,Sri Lanka,19.33
ISR,Israel,19.37
ECU,Ecuador,19.4
CUB,Cuba,19.43
ECU,Ecuador,19.5
LAO,Lao People's Democratic Republic,19.63
KGZ,Kyrgyzstan,19.66
POL,Poland,19.67
LCA,Saint Lucia,19.68
HTI,Haiti,19.76
LKA,Sri Lanka,19.89
PHL,Philippines,19.94
BGR,Bulgaria,20.07
AZE,Azerbaijan,20.19
BLR,Belarus,20.23
BLZ,Belize,20.3
BLZ,Belize,20.32
CHL,Chile,20.35
VEN,Venezuela (Bolivarian Republic of),20.46
ISR,Israel,20.47
ALB,Albania,20.49
BLZ,Belize,20.49
ISR,Israel,20.54
DMA,Dominica,20.55
VEN,Venezuela (Bolivarian Republic of),20.63
VNM,Viet Nam,20.63
VCT,Saint Vincent and the Grenadines,20.75
MNE,Montenegro,20.79
VEN,Venezuela (Bolivarian Republic of),20.83
ATG,Antigua and Barbuda,20.99
SUR,Suriname,21.03
ATG,Antigua and Barbuda,21.05
GUY,Guyana,21.34
GEO,Georgia,21.44
GRD,Grenada,21.45
NIC,Nicaragua,21.6
DMA,Dominica,21.69
MNE,Montenegro,21.78
MOZ,Mozambique,21.91
NIC,Nicaragua,22.17
PHL,Philippines,22.23
MNE,Montenegro,22.26
BGR,Bulgaria,22.31
AZE,Azerbaijan,22.41
POL,Poland,22.41
KEN,Kenya,22.46
VNM,Viet Nam,22.46
NIC,Nicaragua,22.58
MEX,Mexico,22.74
KGZ,Kyrgyzstan,22.84
UZB,Uzbekistan,22.85
MOZ,Mozambique,22.89
KHM,Cambodia,22.98
MEX,Mexico,23.02
TTO,Trinidad and Tobago,23.03
CUB,Cuba,23.03
SWZ,Eswatini,23.05
MEX,Mexico,23.06
VCT,Saint Vincent and the Grenadines,23.09
GUY,Guyana,23.33
SWZ,Eswatini,23.33
VCT,Saint Vincent and the Grenadines,23.39
SWZ,Eswatini,23.43
POL,Poland,23.47
KHM,Cambodia,23.5
MOZ,Mozambique,23.55
GRD,Grenada,23.58
NAM,Namibia,23.63
LCA,Saint Lucia,23.71
LCA,Saint Lucia,23.79
TTO,Trinidad and Tobago,23.84
GRD,Grenada,23.84
BRB,Barbados,23.85
TZA,United Republic of Tanzania,24.02
CHL,Chile,24.14
KAZ,Kazakhstan,24.18
ZAF,South Africa,24.47
TTO,Trinidad and Tobago,24.88
BOL,Bolivia (Plurinational State of),25.11
BRB,Barbados,25.23
SRB,Serbia,25.25
ARM,Armenia,25.28
KEN,Kenya,25.37
KOR,Republic of Korea,25.44
ZWE,Zimbabwe,25.45
THA,Thailand,25.64
HND,Honduras,25.68
HND,Honduras,25.72
TZA,United Republic of Tanzania,25.76
HND,Honduras,25.76
KHM,Cambodia,25.78
BRB,Barbados,25.9
BOL,Bolivia (Plurinational State of),25.92
PER,Peru,25.97
GEO,Georgia,26.14
MWI,Malawi,26.19
NAM,Namibia,26.22
SRB,Serbia,26.22
KOR,Republic of Korea,26.26
BIH,Bosnia and Herzegovina,26.28
KOR,Republic of Korea,26.37
TZA,United Republic of Tanzania,26.4
ZWE,Zimbabwe,26.42
GUY,Guyana,26.43
KEN,Kenya,26.43
SOM,Somalia,26.45
SRB,Serbia,26.53
SOM,Somalia,26.55
SOM,Somalia,26.57
CHL,Chile,26.58
ZWE,Zimbabwe,26.79
THA,Thailand,26.79
KGZ,Kyrgyzstan,26.87
BOL,Bolivia (Plurinational State of),27.02
SUR,Suriname,27.03
UZB,Uzbekistan,27.05
ZAF,South Africa,27.11
MWI,Malawi,27.49
BWA,Botswana,27.52
MKD,The former Yugoslav Republic of Macedonia,27.65
BWA,Botswana,27.7
MWI,Malawi,27.76
MAR,Morocco,27.84
